productName,productGroup,productSubGroup,productSubGroupPrefix,productNameComputed,HamaliPerBag,PlatformCooliPerBag,KataCooliPerBag,MamulluPerBag,MonthlyRentPerBag,YearlyRentPerBag,Insurance,ProductGroup,YearlyRentPerKg,BagSize
Jaggery 16Kg Cubes,Jaggery,Jaggery,Jaggery,Jaggery16Kg Bags,2.74,2.26,2.8,1.6,4.8,19.2,0,Jaggery,1.2,16
Jaggery 22Kg Boxes,Jaggery,Jaggery,Jaggery,Jaggery22Kg Bags,3.76,3.1,3.74,2.2,6.6,26.4,0,Jaggery,1.2,22
Jaggery 23Kg Boxes,Jaggery,Jaggery,Jaggery,Jaggery23Kg Bags,3.93,3.24,3.91,2.3,3.9,27.6,0,Jaggery,1.2,23
Jaggery 24Kg Boxes,Jaggery,Jaggery,Jaggery,Jaggery24Kg Bags,4.1,3.38,4.08,2.4,7.2,28.8,0,Jaggery,1.2,24
Jonnalu 10Kg Bags,Jonnalu,Jonnalu,Jonnalu,Jonnalu10Kg Bags,3.50,1.21,10.4,1,6,15,0,Jonnalu,1.5,10
Jonnalu 20Kg Bags,Jonnalu,Jonnalu,Jonnalu,Jonnalu20Kg Bags,7,2.42,10.4,2,12,30,0,Jonnalu,1.5,20
Jonnalu 25Kg Bags,Jonnalu,Jonnalu,Jonnalu,Jonnalu25Kg Bags,8.75,3.03,10.4,2.5,15,37.5,0,Jonnalu,1.5,25
Jonnalu 30Kg Bags,Jonnalu,Jonnalu,Jonnalu,Jonnalu30Kg Bags,10.5,3.63,10.4,3,18,45,0,Jonnalu,1.5,30
Jonnalu 40Kg Bags,Jonnalu,Jonnalu,Jonnalu,Jonnalu50Kg Bags,17.50,6.06,10.4,5,30,60,0,Jonnalu,1.5,50
Jonnalu 50Kg Bags,Jonnalu,Jonnalu,Jonnalu,Jonnalu50Kg Bags,17.50,6.06,10.4,5,30,75,0,Jonnalu,1.5,50
Kandi Pappu 50Kg Bags,Kandi Pappu,Kandi Pappu,Kandi Pappu,Kandi Pappu50Kg Bags,17.50,6.06,10.4,5,30,75,0,Kandi Pappu,1.5,50
Kunkullu 10Kg Bags,Kunkullu,Kunkullu,Kunkullu,Kunkullu10Kg Bags,3.50,1.21,10.4,1,6,15,0,Kunkullu,1.5,10
Kunkullu 20Kg Bags,Kunkullu,Kunkullu,Kunkullu,Kunkullu20Kg Bags,7,2.42,3.4,2,12,30,0,Kunkullu,1.5,20
Kunkullu 25Kg Bags,Kunkullu,Kunkullu,Kunkullu,Kunkullu25Kg Bags,8.75,3.03,10.4,2.5,15,40,0,Kunkullu,1.5,25
Kunkullu 30Kg Bags,Kunkullu,Kunkullu,Kunkullu,Kunkullu30Kg Bags,10.5,3.63,5.1,3,18,45,0,Kunkullu,1.5,30
Kunkullu 40KG Bags,Kunkullu,Kunkullu,Kunkullu,Kunkullu40Kg Bags,17.50,6.06,10.4,5,30,75,0,Kunkullu,1.5,40
Kunkullu 50Kg Bags,Kunkullu,Kunkullu,Kunkullu,Kunkullu50Kg Bags,17.50,6.06,10.4,5,30,75,0,Kunkullu,1.5,50
Mango Jelly 15Kg Boxes,Mango Jelly,Mango Jelly,Mango Jelly,Mango Jelly15Kg Bags,5.25,2.12,2.55,1.5,6,22.5,0,Mango Jelly,1.5,15
Mango Jelly 60Kg Boxes,Mango Jelly,Mango Jelly,Mango Jelly,Mango Jelly60Kg Bags,21,7.05,10.4,5,30,62.5,0,Mango Jelly,1.25,60
Minumulu 50 Kg Bags,Minumulu,Minumulu,Minumulu,Minumulu50Kg Bags,17.50,6.06,10.4,5,30,75,0,Minumulu,1.5,50
Pasupu Kommulu 10Kg Bags,Pasupu Kommulu,Pasupu Kommulu,Pasupu Kommulu,Pasupu Kommulu10Kg Bags,3.5,1.21,10.4,1,6,15,0,Pasupu Kommulu,1.5,10
Pasupu Kommulu 20Kg Bags,Pasupu Kommulu,Pasupu Kommulu,Pasupu Kommulu,Pasupu Kommulu20Kg Bags,7,2.42,3.4,2,12,30,0,Pasupu Kommulu,1.5,20
Pasupu Kommulu 25Kg Bags,Pasupu Kommulu,Pasupu Kommulu,Pasupu Kommulu,Pasupu Kommulu25Kg Bags,8.75,3.03,10.4,2.5,15,40,0,Pasupu Kommulu,1.5,25
Pasupu Kommulu 30Kg Bags,Pasupu Kommulu,Pasupu Kommulu,Pasupu Kommulu,Pasupu Kommulu30Kg Bags,10.5,3.63,5.1,3,18,45,0,Pasupu Kommulu,1.5,30
Pasupu Kommulu 40Kg Bags,Pasupu Kommulu,Pasupu Kommulu,Pasupu Kommulu,Pasupu Kommulu50Kg Bags,17.50,6.06,10.4,5,30,60,0,Pasupu Kommulu,1.5,50
Pasupu Kommulu 50Kg Bags,Pasupu Kommulu,Pasupu Kommulu,Pasupu Kommulu,Pasupu Kommulu50Kg Bags,17.50,6.06,10.4,5,30,75,0,Pasupu Kommulu,1.5,50
Pesalu 10Kg Bags,Pesalu,Pesalu,Pesalu,Pesalu10Kg Bags,3.5,1.21,10.4,1,6,15,0,Pesalu,1.5,10
Pesalu 20Kg Bags,Pesalu,Pesalu,Pesalu,Pesalu20Kg Bags,7,2.42,3.4,2,12,30,0,Pesalu,1.5,20
Pesalu 25Kg Bags,Pesalu,Pesalu,Pesalu,Pesalu25Kg Bags,8.75,3.03,10.4,2.5,15,40,0,Pesalu,1.5,25
Pesalu 30Kg Bags,Pesalu,Pesalu,Pesalu,Pesalu30Kg Bags,10.5,3.63,5.1,3,18,45,0,Pesalu,1.5,30
Pesalu 40Kg Bags,Pesalu,Pesalu,Pesalu,Pesalu50Kg Bags,17.50,6.06,10.4,5,30,60,0,Pesalu,1.5,50
Pesalu 50Kg Bags,Pesalu,Pesalu,Pesalu,Pesalu50Kg Bags,17.50,6.06,10.4,5,30,75,0,Pesalu,1.5,50
Potatoes 50Kg Bags,Potatoes,Potatoes,Potatoes,Potatoes50Kg Bags,17.50,6.06,10.4,5,30,75,0,Potatoes,1.5,50
Sanaga Pappu 50Kg Bags,Sanaga Pappu,Sanaga Pappu,Sanaga Pappu,Sanaga Pappu50Kg Bags,17.50,6.06,10.4,5,30,75,0,Sanaga Pappu,1.5,50
Sanagalu 50Kg Bags,Sanagalu,Sanagalu,Sanagalu,Sanagalu50Kg Bags,17.50,6.06,10.4,5,30,75,0,Sanaga Pappu,1.5,50
Tamarind-Bada Bathi 15Kg Bags,Tamarind,Bada Bathi,Tamarind (Bada Bathi),Tamarind (Bada Bathi)15Kg Bags,4.50,2.12,2.55,1.5,4.5,18.75,0,Tamarind,1.25,15
