"deliveryId","lodgementId","Delivery Date","Lot Number","Delivered Bags","Balance Bags","Months Lodged","Total Charges Paid","Rent Receivable on Delivered Bags"
"6433da348a12e9ad0dd6b941","643373178a12e9ad0d2fa453","31/12/2020","4571/201","1","160","0 Months","11","0"
"6433da348a12e9ad0dd6b942","643373178a12e9ad0d2fa453","08/01/2021","4571/201","1","159","0 Months","11","0"
"6433da348a12e9ad0dd6b943","643373178a12e9ad0d2fa453","11/01/2021","4571/201","1","158","0 Months","11","0"
"6433da348a12e9ad0dd6b944","643373178a12e9ad0d2fa453","18/01/2021","4571/201","2","156","0 Months","13","0"
"6433da348a12e9ad0dd6b945","643373178a12e9ad0d2fa453","21/01/2021","4571/201","1","155","0 Months","11","0"
"6433da348a12e9ad0dd6b946","643373178a12e9ad0d2fa453","21/01/2021","4571/201","4","151","0 Months","45","0"
"6433da348a12e9ad0dd6b947","643373178a12e9ad0d2fa453","28/01/2021","4571/201","1","150","0 Months","11","0"
"6433da348a12e9ad0dd6b948","643373178a12e9ad0d2fa453","04/02/2021","4571/201","1","149","0 Months","11","0"
"6433da348a12e9ad0dd6b949","643373178a12e9ad0d2fa453","04/02/2021","4571/201","1","148","0 Months","0","0"
"6433da348a12e9ad0dd6b94a","643373178a12e9ad0d2fa453","11/02/2021","4571/201","1","147","0 Months","11","0"
"6433da348a12e9ad0dd6b94b","643373178a12e9ad0d2fa453","15/02/2021","4571/201","1","146","0 Months","11","0"
"6433da348a12e9ad0dd6b94c","643373178a12e9ad0d2fa453","19/02/2021","4571/201","1","145","0 Months","11","0"
"6433da348a12e9ad0dd6b94d","643373178a12e9ad0d2fa453","22/02/2021","4571/201","8","137","0 Months","91","0"
"6433da348a12e9ad0dd6b94e","643373178a12e9ad0d2fa453","22/02/2021","4571/201","1","136","0 Months","11","0"
"6433da348a12e9ad0dd6b94f","643373178a12e9ad0d2fa453","05/03/2021","4571/201","2","134","0 Months","22","0"
"6433da348a12e9ad0dd6b950","643373178a12e9ad0d2fa453","12/03/2021","4571/201","1","133","0 Months","11","0"
"6433da348a12e9ad0dd6b951","643373178a12e9ad0d2fa453","19/03/2021","4571/201","1","132","0 Months","11","0"
"6433da348a12e9ad0dd6b952","643373178a12e9ad0d2fa453","22/03/2021","4571/201","10","122","0 Months","114","0"
"6433da348a12e9ad0dd6b953","643373178a12e9ad0d2fa453","29/03/2021","4571/201","1","121","0 Months","11","0"
"6433da348a12e9ad0dd6b954","643373178a12e9ad0d2fa453","01/04/2021","4571/201","1","120","0 Months","11","0"
"6433da348a12e9ad0dd6b955","643373178a12e9ad0d2fa453","06/04/2021","4571/201","1","119","0 Months","11","0"
"6433da348a12e9ad0dd6b956","643373178a12e9ad0d2fa453","16/04/2021","4571/201","1","118","0 Months","11","0"
"6433da348a12e9ad0dd6b957","643373178a12e9ad0d2fa453","22/04/2021","4571/201","1","117","0 Months","11","0"
"6433da348a12e9ad0dd6b958","643373178a12e9ad0d2fa453","03/05/2021","4571/201","1","116","0 Months","9","0"
"6433da348a12e9ad0dd6b959","643373178a12e9ad0d2fa453","03/06/2021","4571/201","1","115","0 Months","11","0"
"6433da348a12e9ad0dd6b95a","643373178a12e9ad0d2fa453","07/06/2021","4571/201","1","114","0 Months","10","0"
"6433da348a12e9ad0dd6b95b","643373178a12e9ad0d2fa453","17/06/2021","4571/201","1","113","0 Months","10","0"
"6433da348a12e9ad0dd6b95c","643373178a12e9ad0d2fa453","21/06/2021","4571/201","1","112","0 Months","10","0"
"6433da348a12e9ad0dd6b95d","643373178a12e9ad0d2fa453","28/06/2021","4571/201","1","111","0 Months","10","0"
